"N_PORTION","GEO","UNIT","TIME","ISCED11","SEX","AGE","Value","Flag and Footnotes"
"0 portions","European Union - 27 countries (from 2020)","Percentage","2014","All ISCED 2011 levels ","Total","Total","36.0",""
"0 portions","European Union - 27 countries (from 2020)","Percentage","2019","All ISCED 2011 levels ","Total","Total","32.9",""
"0 portions","European Union - 28 countries (2013-2020)","Percentage","2014","All ISCED 2011 levels ","Total","Total","34.4",""
"0 portions","European Union - 28 countries (2013-2020)","Percentage","2019","All ISCED 2011 levels ","Total","Total",":",""
"0 portions","Belgium","Percentage","2014","All ISCED 2011 levels ","Total","Total","16.1",""
"0 portions","Belgium","Percentage","2019","All ISCED 2011 levels ","Total","Total","17.4",""
"0 portions","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Total","Total","58.6",""
"0 portions","Bulgaria","Percentage","2019","All ISCED 2011 levels ","Total","Total","47.1",""
"0 portions","Czechia","Percentage","2014","All ISCED 2011 levels ","Total","Total","46.3",""
"0 portions","Czechia","Percentage","2019","All ISCED 2011 levels ","Total","Total","48.2",""
"0 portions","Denmark","Percentage","2014","All ISCED 2011 levels ","Total","Total","37.6",""
"0 portions","Denmark","Percentage","2019","All ISCED 2011 levels ","Total","Total","38.6",""
"0 portions","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Total","Total","45.2",""
"0 portions","Germany (until 1990 former territory of the FRG)","Percentage","2019","All ISCED 2011 levels ","Total","Total","33.2",""
"0 portions","Estonia","Percentage","2014","All ISCED 2011 levels ","Total","Total","34.9",""
"0 portions","Estonia","Percentage","2019","All ISCED 2011 levels ","Total","Total","39.4",""
"0 portions","Ireland","Percentage","2014","All ISCED 2011 levels ","Total","Total","33.4",""
"0 portions","Ireland","Percentage","2019","All ISCED 2011 levels ","Total","Total","19.0",""
"0 portions","Greece","Percentage","2014","All ISCED 2011 levels ","Total","Total","30.1",""
"0 portions","Greece","Percentage","2019","All ISCED 2011 levels ","Total","Total","33.1",""
"0 portions","Spain","Percentage","2014","All ISCED 2011 levels ","Total","Total","25.0",""
"0 portions","Spain","Percentage","2019","All ISCED 2011 levels ","Total","Total","23.4",""
"0 portions","France","Percentage","2014","All ISCED 2011 levels ","Total","Total","34.7",""
"0 portions","France","Percentage","2019","All ISCED 2011 levels ","Total","Total","25.2",""
"0 portions","Croatia","Percentage","2014","All ISCED 2011 levels ","Total","Total","27.5",""
"0 portions","Croatia","Percentage","2019","All ISCED 2011 levels ","Total","Total","28.5",""
"0 portions","Italy","Percentage","2014","All ISCED 2011 levels ","Total","Total","23.0",""
"0 portions","Italy","Percentage","2019","All ISCED 2011 levels ","Total","Total","23.8",""
"0 portions","Cyprus","Percentage","2014","All ISCED 2011 levels ","Total","Total","32.6",""
"0 portions","Cyprus","Percentage","2019","All ISCED 2011 levels ","Total","Total","33.2",""
"0 portions","Latvia","Percentage","2014","All ISCED 2011 levels ","Total","Total","48.5",""
"0 portions","Latvia","Percentage","2019","All ISCED 2011 levels ","Total","Total","53.9",""
"0 portions","Lithuania","Percentage","2014","All ISCED 2011 levels ","Total","Total","41.5",""
"0 portions","Lithuania","Percentage","2019","All ISCED 2011 levels ","Total","Total","41.0",""
"0 portions","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Total","Total","36.2",""
"0 portions","Luxembourg","Percentage","2019","All ISCED 2011 levels ","Total","Total","48.1",""
"0 portions","Hungary","Percentage","2014","All ISCED 2011 levels ","Total","Total","33.1",""
"0 portions","Hungary","Percentage","2019","All ISCED 2011 levels ","Total","Total","36.3",""
"0 portions","Malta","Percentage","2014","All ISCED 2011 levels ","Total","Total","35.6",""
"0 portions","Malta","Percentage","2019","All ISCED 2011 levels ","Total","Total","36.4",""
"0 portions","Netherlands","Percentage","2014","All ISCED 2011 levels ","Total","Total","45.9",""
"0 portions","Netherlands","Percentage","2019","All ISCED 2011 levels ","Total","Total","41.8",""
"0 portions","Austria","Percentage","2014","All ISCED 2011 levels ","Total","Total","31.8",""
"0 portions","Austria","Percentage","2019","All ISCED 2011 levels ","Total","Total","35.8",""
"0 portions","Poland","Percentage","2014","All ISCED 2011 levels ","Total","Total","33.2",""
"0 portions","Poland","Percentage","2019","All ISCED 2011 levels ","Total","Total","37.5",""
"0 portions","Portugal","Percentage","2014","All ISCED 2011 levels ","Total","Total","20.7",""
"0 portions","Portugal","Percentage","2019","All ISCED 2011 levels ","Total","Total","27.4",""
"0 portions","Romania","Percentage","2014","All ISCED 2011 levels ","Total","Total","65.1",""
"0 portions","Romania","Percentage","2019","All ISCED 2011 levels ","Total","Total","73.6",""
"0 portions","Slovenia","Percentage","2014","All ISCED 2011 levels ","Total","Total","27.0",""
"0 portions","Slovenia","Percentage","2019","All ISCED 2011 levels ","Total","Total","31.9",""
"0 portions","Slovakia","Percentage","2014","All ISCED 2011 levels ","Total","Total","46.6",""
"0 portions","Slovakia","Percentage","2019","All ISCED 2011 levels ","Total","Total","41.3",""
"0 portions","Finland","Percentage","2014","All ISCED 2011 levels ","Total","Total","42.3",""
"0 portions","Finland","Percentage","2019","All ISCED 2011 levels ","Total","Total","37.5",""
"0 portions","Sweden","Percentage","2014","All ISCED 2011 levels ","Total","Total","36.5",""
"0 portions","Sweden","Percentage","2019","All ISCED 2011 levels ","Total","Total","37.7",""
"0 portions","Iceland","Percentage","2014","All ISCED 2011 levels ","Total","Total","34.8",""
"0 portions","Iceland","Percentage","2019","All ISCED 2011 levels ","Total","Total","34.1",""
"0 portions","Norway","Percentage","2014","All ISCED 2011 levels ","Total","Total","30.9",""
"0 portions","Norway","Percentage","2019","All ISCED 2011 levels ","Total","Total","29.2",""
"0 portions","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Total","Total","21.3",""
"0 portions","United Kingdom","Percentage","2019","All ISCED 2011 levels ","Total","Total",":",""
"0 portions","Serbia","Percentage","2014","All ISCED 2011 levels ","Total","Total",":",""
