"N_PORTION","GEO","UNIT","TIME","ISCED11","SEX","AGE","Value","Flag and Footnotes"
"0 portions","European Union - 27 countries (from 2020)","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","39.1",""
"0 portions","European Union - 27 countries (from 2020)","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","30.5",""
"0 portions","European Union - 27 countries (from 2020)","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","45.9",""
"0 portions","European Union - 27 countries (from 2020)","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","33.8",""
"0 portions","European Union - 27 countries (from 2020)","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","38.8",""
"0 portions","European Union - 27 countries (from 2020)","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","24.1",""
"0 portions","European Union - 27 countries (from 2020)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","37.4",""
"0 portions","European Union - 27 countries (from 2020)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","28.4",""
"0 portions","European Union - 27 countries (from 2020)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","44.0",""
"0 portions","European Union - 27 countries (from 2020)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","30.3",""
"0 portions","European Union - 27 countries (from 2020)","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","32.9",""
"0 portions","European Union - 27 countries (from 2020)","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","20.5",""
"0 portions","European Union - 28 countries (2013-2020)","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","38.9",""
"0 portions","European Union - 28 countries (2013-2020)","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","29.9",""
"0 portions","European Union - 28 countries (2013-2020)","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","43.9",""
"0 portions","European Union - 28 countries (2013-2020)","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","32.4",""
"0 portions","European Union - 28 countries (2013-2020)","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","35.7",""
"0 portions","European Union - 28 countries (2013-2020)","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","22.0",""
"0 portions","European Union - 28 countries (2013-2020)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total",":",""
"0 portions","European Union - 28 countries (2013-2020)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total",":",""
"0 portions","European Union - 28 countries (2013-2020)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total",":",""
"0 portions","European Union - 28 countries (2013-2020)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total",":",""
"0 portions","European Union - 28 countries (2013-2020)","Percentage","2019","Tertiary education (levels 5-8)","Males","Total",":",""
"0 portions","European Union - 28 countries (2013-2020)","Percentage","2019","Tertiary education (levels 5-8)","Females","Total",":",""
"0 portions","Belgium","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","22.2",""
"0 portions","Belgium","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","14.1",""
"0 portions","Belgium","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","19.5",""
"0 portions","Belgium","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","14.3",""
"0 portions","Belgium","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","15.5",""
"0 portions","Belgium","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","9.6",""
"0 portions","Belgium","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","24.7",""
"0 portions","Belgium","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","17.1",""
"0 portions","Belgium","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","22.9",""
"0 portions","Belgium","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","16.2",""
"0 portions","Belgium","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","16.7",""
"0 portions","Belgium","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","9.1",""
"0 portions","Bulgaria","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","73.4",""
"0 portions","Bulgaria","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","68.6",""
"0 portions","Bulgaria","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","58.9",""
"0 portions","Bulgaria","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","54.6",""
"0 portions","Bulgaria","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","48.5",""
"0 portions","Bulgaria","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","42.6",""
"0 portions","Bulgaria","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","55.9",""
"0 portions","Bulgaria","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","54.2",""
