"BMI","GEO","UNIT","TIME","ISCED11","SEX","AGE","Value","Flag and Footnotes"
"Underweight","European Union - 27 countries (from 2020)","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","2.9",""
"Underweight","European Union - 27 countries (from 2020)","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","4.5",""
"Underweight","European Union - 27 countries (from 2020)","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","1.0",""
"Underweight","European Union - 27 countries (from 2020)","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","3.8",""
"Underweight","European Union - 27 countries (from 2020)","Percentage","2014","Tertiary education (levels 5-8)","Males","Total","0.6",""
"Underweight","European Union - 27 countries (from 2020)","Percentage","2014","Tertiary education (levels 5-8)","Females","Total","4.2",""
"Underweight","European Union - 27 countries (from 2020)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","3.0",""
"Underweight","European Union - 27 countries (from 2020)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","4.4",""
"Underweight","European Union - 27 countries (from 2020)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","1.1",""
"Underweight","European Union - 27 countries (from 2020)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","Total","3.6",""
"Underweight","European Union - 27 countries (from 2020)","Percentage","2019","Tertiary education (levels 5-8)","Males","Total","0.7",""
"Underweight","European Union - 27 countries (from 2020)","Percentage","2019","Tertiary education (levels 5-8)","Females","Total","4.8",""
"Underweight","European Union - 28 countries (2013-2020)","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Males","Total","2.9",""
"Underweight","European Union - 28 countries (2013-2020)","Percentage","2014","Less than primary, primary and lower secondary education (levels 0-2)","Females","Total","4.3",""
"Underweight","European Union - 28 countries (2013-2020)","Percentage","2014","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","Total","1.0",""
